PLEASER_ITEM,DESCRIPTION,BRAND,SUB_CATEGORY,2ND_SUB_CATEGORY,STYLE_NAME,COLOR_DESCRIPTION,WHOLESALE_PRICE_US,SIZE_RANGE,IMAGE_FULL,IMAGE_THUMBNAIL,BLANK_1,BLANK_2,HEEL_PLATFORM,MSRP_USD_FOR_INTL_ACCT,DESCRIPTION_ADDITION,ITEM_STATUS,SALE_DATE,MAP_US_DOLLAR,MAP_ACTIVATION_DATE,MSRP_EURO_FOR_INTL_ACCT,FIT_GUIDE,MSRP_USD_FOR_DOMESTIC_ACCT,MSRP_GBP_FOR_INTL_ACCT,CALF_CIRCUMFERENCE,BOOT_SHAFT_HEIGHT,FIRST_RCV_DATE,WHOLESALE_PRICE_NETHERLANDS,VEGAN_STYLE,MULTIVIEW_IMAGE_1,MULTIVIEW_IMAGE_2,MULTIVIEW_IMAGE_3,MULTIVIEW_IMAGE_4,HTML5_LINK,UPPER_MATERIAL,MID-SOLE_MATERIAL,LINING_MATERIAL,OUTSOLE_MATERIAL,HS_CODE,HEEL_HEIGHT_IN_INCH,HEEL_HEIGHT_IN_CM,PLATFORM_HEIGHT_IN_INCH,PLATFORM_HEIGHT_IN_CM,MSRP_YEN,MSRP_CAD,MSRP_RUBLE,MSRP_AUD,MSRP_UAH
KERA12/BVL,"4 1/2"" Platform Dual Strap Maryjane",Demonia,Women's Heels & Platform Shoes,,KERA-12,Blk Vegan Leather,42.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-12-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-12-bvl_t.jpg,,,"4 1/2"" PF",124.95,"4 1/2"""" (114mm) Platform MaryjaneFeaturing Dual Buckle Straps w/ Cone Spike Studded Metal Plates & O-Ring Details",CURRENT,,85.95,01/05/2018,101.95,TRUE TO SIZE,,90.95,,,01/17/2018,64.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-12-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-12-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-12-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-12-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-12-bvl/Preview.html,PU,PU,PU,TPR,6402.99.3165,.0,.0,4.5,11.4,13699.00,159.95,9099,165.95,3599.00
KERA13/B-PWVL,"4 1/2"" Platform Dual Strap Maryjane",Demonia,Women's Heels & Platform Shoes,,KERA-13,Blk-Pewter Vegan Leather,42.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-13-bpwvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-13-bpwvl_t.jpg,,,"4 1/2"" PF",124.95,"4 1/2"""" (114mm) Front & Back Metal Plated Platform Maryjane Featuring Hook N' Loop Straps",CURRENT,,83.95,08/31/2018,101.95,TRUE TO SIZE,,90.95,,,09/27/2018,64.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-13-b-pwvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-13-b-pwvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-13-b-pwvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-13-b-pwvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-13-b-pwvl/Preview.html,PU,PU,PU,TPR,6402.99.3165,.0,.0,4.5,11.4,13699.00,159.95,9099,165.95,3599.00
KERA130/BVL,"4 1/2"" Platform Calf High Boot, Metal Back Zip",Demonia,Women's Ankle Boots,,KERA-130,Blk Vegan Leather,55.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-130-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-130-bvl_t.jpg,,,"4 1/2"" Platform",161.95,,NEW,,108.95,01/05/2021,132.95,TRUE TO SIZE,,116.95,11.5,7.5,10/13/2021,94.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-130-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-130-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-130-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-130-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-130-bvl/Preview.html,PU,SEMI-PU,SEMI-PU,TPR,6402.91.4050,.0,.0,4.5,11.4,17799.00,206.95,11699,214.95,4599.00
KERA130/WVL,"4 1/2"" Platform Calf High Boot, Metal Back Zip",Demonia,Women's Ankle Boots,,KERA-130,Wht Vegan Leather,55.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-130-wvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-130-wvl_t.jpg,,,"4 1/2"" Platform Calf High Boot",161.95,,NEW,,109.95,03/22/2021,132.95,TRUE TO SIZE,,116.95,11.5,7.5,10/13/2021,94.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-130-wvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-130-wvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-130-wvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-130-wvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-130-wvl/Preview.html,PU,SEMI-PU,SEMI-PU,TPR,6402.91.4050,4.8,12.0,4.5,11.4,17799.00,206.95,11699,214.95,4599.00
KERA200/BVL,"4 1/2""PF Lace-Up Knee High Boots w/ Shield, Back Zip",Demonia,Women's Mid-Calf & Knee High Boots,,KERA-200,Blk Vegan Leather,59.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-200-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-200-bvl_t.jpg,,,"4 1/2"" PF",164.95,,CURRENT,,115.95,05/21/2018,134.95,TRUE TO SIZE,,119.95,12.625,14,06/14/2018,96.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-200-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-200-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-200-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-200-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-200-bvl/Preview.html,PU,PU,FABRIC,TPR,6402.91.4050,.0,.0,4.5,11.4,18099.00,210.95,11999,218.95,4699.00
KERA200/WVL,"4 1/2""Platform Lace-Up Knee High Boots w/ Shield, Back Zip",Demonia,Women's Mid-Calf & Knee High Boots,,KERA-200,Wht Vegan Leather,59.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-200-wvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-200-wvl_t.jpg,,,"4 1/2"" PF",164.95,,CURRENT,,115.95,05/21/2018,134.95,TRUE TO SIZE,,119.95,12.625,14,06/14/2018,96.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-200-wvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-200-wvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-200-wvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-200-wvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-200-wvl/Preview.html,PU,PU,FABRIC,TPR,6402.91.4050,.0,.0,4.5,11.4,18099.00,210.95,11999,218.95,4699.00
KERA21/BPVL,"4 1/2"" PF Faux Lace-Up Ankle Boot, Side Zip",Demonia,Women's Ankle Boots,,KERA-21,B. Pink Vegan Leather,47.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-21-bpvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-21-bpvl_t.jpg,,,"4 1/2"" P/F",134.95,"4 1/2"""" (11.4cm)P/F Faux Lace-Up Ankle Boot Featuring Adjustable Ankle Cuff, Side Zip",CURRENT,,93.95,10/14/2016,110.95,TRUE TO SIZE,,97.95,9.625,5,11/09/2016,73.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-21-bpvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-bpvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-bpvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-bpvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-21-bpvl/Preview.html,PU,SEMI-PU,SEMI-PU,TPR,6402.91.4050,.0,.0,4.5,11.4,14799.00,172.95,9799,178.95,3799.00
KERA21/BVL,"4 1/2"" PF Faux Lace-Up Ankle Boot, Side Zip",Demonia,Women's Ankle Boots,,KERA-21,Blk Vegan Leather,47.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-21-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-21-bvl_t.jpg,,,"4 1/2"" P/F",134.95,"4 1/2"""" (11.4cm)P/F Faux Lace-Up Ankle Boot Featuring Adjustable Ankle Cuff, Side Zip",CURRENT,,93.95,10/14/2016,110.95,TRUE TO SIZE,,97.95,9.625,5,11/09/2016,73.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-21-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-21-bvl/Preview.html,PU,SEMI-PU,SEMI-PU,TPR,6402.91.4050,.0,.0,4.5,11.4,14799.00,172.95,9799,178.95,3799.00
KERA21/WVL,"4 1/2"" PF Ankle Boot, Side Zip",Demonia,Women's Ankle Boots,,KERA-21,Wht Vegan Leather,47.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-21-wvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-21-wvl_t.jpg,,,"4 1/2"" PF Ankle Boot",134.95,"4 1/2"""" (114mm) Platform Ankle Boot Featuring Front Lacing Detail and Adjustable Dual Buckle Ankle Cuff, Side Zip Closure",CURRENT,,93.95,05/07/2019,110.95,TRUE TO SIZE,,97.95,9.625,5,07/03/2019,73.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-21-wvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-wvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-wvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-21-wvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-21-wvl/Preview.html,PU,SEMI-PU,FABRIC,TPR,6402.91.4050,.0,.0,4.5,11.4,14799.00,172.95,9799,178.95,3799.00
KERA303/B,"4 1/2"" Wedge PF Lace-Up Stretch Thigh Boot, Side Zip",Demonia,Women's Over-the-Knee Boots,,KERA-303,Blk Stretch Patent,68.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-303-b.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-303-b_t.jpg,,,"4 1/2"" Wedge PF",169.95,,CURRENT,,124.95,11/16/2020,138.95,TRUE TO SIZE,,122.95,15,24,03/26/2021,100.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-303-b01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-b05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-b09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-b13.jpg,https://pleaser.sa.metacdn.com/html5/kera-303-b/Preview.html,PAT,SEMI-PU,N/A,TPR,6402.91.4050,.0,.0,4.5,11.4,18699.00,217.95,12299,225.95,4799.00
KERA303/BVL,"4 1/2"" Wedge PF Lace-Up Stretch Thigh Boot, Side Zip",Demonia,Women's Over-the-Knee Boots,,KERA-303,Blk Stretch Vegan Leather,68.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-303-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-303-bvl_t.jpg,,,"4 1/2"" Wedge PF",169.95,,CURRENT,,124.95,11/16/2020,138.95,TRUE TO SIZE,,122.95,15,24,04/08/2021,100.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-303-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/kera-303-bvl/Preview.html,PU,SEMI-PU,N/A,TPR,6402.91.4050,.0,.0,4.5,11.4,18699.00,217.95,12299,225.95,4799.00
KERA303/R,"4 1/2"" Wedge PF Lace-Up Stretch Thigh Boot, Side Zip",Demonia,Women's Over-the-Knee Boots,,KERA-303,Red Pat,68.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-303-r.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-303-r_t.jpg,,,"4 1/2"" Wedge PF",169.95,,PREORDER,,124.95,11/12/2021,138.95,TRUE TO SIZE,,122.95,15,24,,100.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-303-r01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-r05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-r09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-r13.jpg,https://pleaser.sa.metacdn.com/html5/kera-303-r/Preview.html,PAT,SEMI-PU,N/A,TPR,6402.91.4050,.0,.0,4.5,11.4,18699.00,217.95,12299,225.95,4799.00
KERA303/W,"4 1/2"" Wedge PF Lace-Up Stretch Thigh Boot, Side Zip",Demonia,Women's Over-the-Knee Boots,,KERA-303,Wht Stretch Patent,69.00,"5-12",https://pleaser.sa.metacdn.com/picxnw/kera-303-w.jpg,https://pleaser.sa.metacdn.com/picxnw/kera-303-w_t.jpg,,,"4 1/2"" Wedge PF",171.95,,NEW,,127.95,01/05/2021,140.95,TRUE TO SIZE,,124.95,15,24,11/12/2021,101.00,YES,https://pleaser.sa.metacdn.com/viewpic/kera-303-w01.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-w05.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-w09.jpg,https://pleaser.sa.metacdn.com/viewpic/kera-303-w13.jpg,https://pleaser.sa.metacdn.com/html5/kera-303-w/Preview.html,PAT,SEMI-PU,SEMI-PU,TPR,6402.91.4050,.0,.0,4.5,11.4,18899.00,219.95,12499,228.95,4899.00
LILITH152/BVL,"1 1/4"" PF Lace-Up Ankle Boot, Side Zip",Demonia,Women's Ankle Boots,,LILITH-152,Blk Vegan Leather,45.00,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-152-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-152-bvl_t.jpg,,,"1 1/4"" PF",126.95,"1 1/4"""" (32mm) Platform Lace-Up Front Ankle Boot w/ Double Buckled Ankle Straps, Inner Side Zip Closure",CURRENT,,89.95,08/19/2019,103.95,TRUE TO SIZE,,91.95,9.75,5.5,10/21/2019,67.00,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-152-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-152-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-152-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-152-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-152-bvl/Preview.html,PU,SEMI-PU,SEMI-PU,TPR,6402.91.4050,1.3,3.2,.0,.0,13999.00,161.95,9199,168.95,3599.00
LILITH152/WVL,"1 1/4"" PF Lace-Up Ankle Boot, Side Zip",Demonia,Women's Ankle Boots,,LILITH-152,Wht Vegan Leather,45.00,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-152-wvl.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-152-wvl_t.jpg,,,"1 1/4"" PF",126.95,"1 1/4"""" (32mm) Platform Lace-Up Front Ankle Boot w/ Double Buckled Ankle Straps, Inner Side Zip Closure",CURRENT,,89.95,08/19/2019,103.95,TRUE TO SIZW,,91.95,9.75,5.5,10/21/2019,67.00,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-152-wvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-152-wvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-152-wvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-152-wvl13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-152-wvl/Preview.html,PU,SEMI-PU,FABRIC,TPR,6402.91.4050,1.3,3.2,.0,.0,13999.00,161.95,9199,168.95,3599.00
LILITH210/BVL,"**1 1/4"" PF Rear Lace-Up Ankle Boot, Side Zip",Demonia,Women's Mid-Calf & Knee High Boots,,LILITH-210,Blk Vegan Leather,49.00,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-210-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-210-bvl_t.jpg,,,"1 1/4"" PF",132.95,"1 1/4"""" (32mm) Platform Rear Lace-Up Ankle Boot W/ Contrast White Stitching at the Welt, Inner Side Zip Closure",CURRENT,,98.95,05/21/2018,108.95,TRUE TO SIZE,,95.95,11,7.125,07/24/2018,72.00,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-210-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-210-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-210-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-210-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-210-bvl/Preview.html,PU,PU,FABRIC,TPR,6402.91.4050,.0,.0,1.3,3.2,14599.00,169.95,9599,176.95,3799.00
LILITH211/BVL,"1 1/4"" PF Front Strap Mid-Calf Boot, Side Zip",Demonia,Women's Mid-Calf & Knee High Boots,,LILITH-211,Blk Vegan Leather,50.00,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-211-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-211-bvl_t.jpg,,,"1 1/4"" PF",136.95,"1 1/4"""" (32mm) PlatformFront Strap Mid-Calf Boot Featuring Elastic Front Panel w/ 4 Hoop N' Loop Straps, Side Zip Closure",CURRENT,,99.95,10/11/2018,111.95,TRUE TO SIZE,,98.95,11.375,9.5,11/07/2018,74.00,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-211-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-211-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-211-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-211-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-211-bvl/Preview.html,PU,SEMI-PU,FABRIC,TPR,6402.91.4050,.0,.0,1.3,3.2,15099.00,174.95,9899,181.95,3899.00
LILITH270/B,"*1 1/4"" PF Lace-Up Mid-Calf Boot, Back Zip",Demonia,Women's Mid-Calf & Knee High Boots,,LILITH-270,Blk Patent,32.50,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-270-b.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-270-b_t.jpg,,,"1 1/4"" PF",91.95,"1 1/4"""" (32mm) Metal Trimmed Platform D-Ring Lace-Up Mid-Calf Boot, Back Zip Closure",SALE,01/10/2022,,,74.95,TRUE TO SIZE,67.95,66.95,11.75,9,01/04/2019,52.50,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-270-b01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-270-b05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-270-b09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-270-b13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-270-b/Preview.html,PAT,SEMI-PU,SEMI-PU,TPR,6402.91.4050,.0,.0,1.3,3.2,10099.00,117.95,6699,121.95,2599.00
LILITH270/BVL,"*1 1/4"" PF Lace-Up Mid-Calf Boot, Back Zip",Demonia,Women's Mid-Calf & Knee High Boots,,LILITH-270,Blk Vegan Leather,32.50,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-270-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-270-bvl_t.jpg,,,"1 1/4"" PF",91.95,"1 1/4"""" (32mm) Metal Trimmed Platform D-Ring Lace-Up Mid-Calf Boot, Back Zip Closure",SALE,01/10/2022,,,74.95,TRUE TO SIZE,67.95,66.95,11.75,9,10/25/2018,52.50,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-270-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-270-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-270-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-270-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-270-bvl/Preview.html,PU,SEMI-PU,SEMI-PU,TPR,6402.91.4050,.0,.0,1.3,3.2,10099.00,117.95,6699,121.95,2599.00
LILITH271/BVL-PVC,"*1 1/4"" PF Lace-Up Mid-Calf Boot, Back Zip",Demonia,Women's Mid-Calf & Knee High Boots,,LILITH-271,Blk Vegan Leather-Clear PVC,34.50,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-271-bvlpvc.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-271-bvlpvc_t.jpg,,,"1 1/4"" PF",87.95,,SALE,01/10/2022,,,71.95,TRUE TO SIZE,65.95,63.95,12.25,9,12/17/2018,54.50,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-271-bvl-pvc01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-271-bvl-pvc05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-271-bvl-pvc09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-271-bvl-pvc13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-271-bvl-pvc/Preview.html,PU,SEMI-PU,SEMI-PU,TPR,6402.91.4050,.0,.0,1.3,3.2,9699.00,112.95,6399,116.95,2499.00
LILITH278/BVL-VSUE,"1 1/4"" PF Lace-Up Ankle Boot, Side Zip",Demonia,Women's Ankle Boots,,LILITH-278,Blk Vegan Leather-Vegan Suede,55.00,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-278-bvlvsue.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-278-bvlvsue_t.jpg,,,"1 1/4"" PF",141.95,,CURRENT,,109.95,11/14/2018,115.95,TRUE TO SIZE,,102.95,9.875,5.125,12/17/2018,81.00,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-278-bvl-vsue01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-278-bvl-vsue05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-278-bvl-vsue09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-278-bvl-vsue13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-278-bvl-vsue/Preview.html,PU-V. SUEDE,SEMI-PU,SEMI-PU,TPR,6404.19.9060,.0,.0,1.3,3.2,15599.00,181.95,10299,188.95,3999.00
LILITH99/BVL,"1 1/4"" PF 3-Eyelet Lace-Up Oxford Shoe",Demonia,Women's Heels & Platform Shoes,,LILITH-99,Blk Vegan Leather,35.00,"6-12",https://pleaser.sa.metacdn.com/picxnw/lilith-99-bvl.jpg,https://pleaser.sa.metacdn.com/picxnw/lilith-99-bvl_t.jpg,,,"1 1/4"" PF",104.95,"1 1/4"""" (32mm) Platform 3-Eyelet Lace-Up Oxford Shoe W/ Contrast White Stitching at the Welt",CURRENT,,70.95,05/18/2018,85.95,TRUE TO SIZE,,75.95,,,06/01/2018,51.00,YES,https://pleaser.sa.metacdn.com/viewpic/lilith-99-bvl01.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-99-bvl05.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-99-bvl09.jpg,https://pleaser.sa.metacdn.com/viewpic/lilith-99-bvl13.jpg,https://pleaser.sa.metacdn.com/html5/lilith-99-bvl/Preview.html,PU,PU,PU,TPR,6402.99.3165,.0,.0,1.3,3.2,11499.00,133.95,7599,139.95,2999.00
MEGA602/B/PU,"5 3/4"" Goth Punk Cyber PF Lace Up Knee BT W/ Zipper",Demonia,Unisex Platform Shoes & Boots,,MEGA-602,Blk Pu,56.00,"Men's 4-12",https://pleaser.sa.metacdn.com/picxnw/mega-602-bpu.jpg,https://pleaser.sa.metacdn.com/picxnw/mega-602-bpu_t.jpg,,,"5 3/4"" P/F",144.95,"5 3/4"""" (14.6cm) Platform Goth Punk Cyber Lace Up Knee Boot Full Inner Side Zip Closure",CURRENT,,110.95,01/14/2013,118.95,TRUE TO SIZE,,104.95,15.125,15.125,10/27/2001,83.00,YES,https://pleaser.sa.metacdn.com/viewpic/mega-602-b-pu01.jpg,https://pleaser.sa.metacdn.com/viewpic/mega-602-b-pu05.jpg,https://pleaser.sa.metacdn.com/viewpic/mega-602-b-pu09.jpg,https://pleaser.sa.metacdn.com/viewpic/mega-602-b-pu13.jpg,https://pleaser.sa.metacdn.com/html5/mega-602-b-pu/Preview.html,PU,FABRIC,FABRIC,TPR,6402.91.4050,.0,.0,5.8,14.6,15899.00,185.95,10499,192.95,4099.00
MUE1001/BPU/PWCH,"5 1/2"" Finger Bone Heel, 1 1/2"" PF Lace-Up Ankle Boot",Demonia,Women's Mid-Calf & Knee High Boots,,MUERTO-1001,Blk Faux Leather/Pewter Chrome,60.00,"5-13",https://pleaser.sa.metacdn.com/picxnw/muerto-1001-bpupwch.jpg,https://pleaser.sa.metacdn.com/picxnw/muerto-1001-bpupwch_t.jpg,,,"5 1/2"" Heel, 1 1/2"" PF",144.95,,CURRENT,,117.95,05/21/2018,118.95,TRUE TO SIZE,,104.95,8.875,4.375,12/11/2018,83.00,YES,https://pleaser.sa.metacdn.com/viewpic/muerto-1001-bpu-pwch01.jpg,https://pleaser.sa.metacdn.com/viewpic/muerto-1001-bpu-pwch05.jpg,https://pleaser.sa.metacdn.com/viewpic/muerto-1001-bpu-pwch09.jpg,https://pleaser.sa.metacdn.com/viewpic/muerto-1001-bpu-pwch13.jpg,https://pleaser.sa.metacdn.com/html5/muerto-1001-bpu-pwch/Preview.html,PU,PVC,PVC,RUBBER,6402.91.4050,5.5,14.0,1.5,3.8,15899.00,185.95,10499,192.95,4099.00
MUE1026/BPU/PWCH,"5 1/2"" Finger Bone Heel, 1 1/2"" PF Lace Up Calf High Boot",Demonia,Women's Mid-Calf & Knee High Boots,,MUERTO-1026,Blk Vegan Leather/Pewter Chrome,76.00,"5-13",https://pleaser.sa.metacdn.com/picxnw/muerto-1026-bpu.jpg,https://pleaser.sa.metacdn.com/picxnw/muerto-1026-bpu_t.jpg,,,"5 1/2"" Heel, 1 1/2"" PF",179.95,"5 1/2"""" (14cm) Finger Bone Heel, 1 1/2"""" (3.8cm) Platform Lace Up Calf High Boot Featuring Skull Buckle Straps, Side Zip",CURRENT,,138.95,10/30/2013,147.95,TRUE TO SIZE,,129.95,13.375,8.75,01/16/2014,106.00,YES,https://pleaser.sa.metacdn.com/viewpic/muerto-1026-bpu-pwch01.jpg,https://pleaser.sa.metacdn.com/viewpic/muerto-1026-bpu-pwch05.jpg,https://pleaser.sa.metacdn.com/viewpic/muerto-1026-bpu-pwch09.jpg,https://pleaser.sa.metacdn.com/viewpic/muerto-1026-bpu-pwch13.jpg,https://pleaser.sa.metacdn.com/html5/muerto-1026-bpu-pwch/Preview.html,PU,PVC,PVC,RUBBER,6402.91.4050,5.5,14.0,1.5,3.8,19799.00,229.95,12999,238.95,5099.00
