PLEASER_ITEM,DESCRIPTION,BRAND,SUB_CATEGORY,2ND_SUB_CATEGORY,STYLE_NAME,COLOR_DESCRIPTION,WHOLESALE_PRICE_US,SIZE_RANGE,IMAGE_FULL,IMAGE_THUMBNAIL,BLANK_1,BLANK_2,HEEL_PLATFORM,MSRP_USD_FOR_INTL_ACCT,DESCRIPTION_ADDITION,ITEM_STATUS,SALE_DATE,MAP_US_DOLLAR,MAP_ACTIVATION_DATE,MSRP_EURO_FOR_INTL_ACCT,FIT_GUIDE,MSRP_USD_FOR_DOMESTIC_ACCT,MSRP_GBP_FOR_INTL_ACCT,CALF_CIRCUMFERENCE,BOOT_SHAFT_HEIGHT,FIRST_RCV_DATE,WHOLESALE_PRICE_NETHERLANDS,VEGAN_STYLE,MULTIVIEW_IMAGE_1,MULTIVIEW_IMAGE_2,MULTIVIEW_IMAGE_3,MULTIVIEW_IMAGE_4,HTML5_LINK,UPPER_MATERIAL,MID-SOLE_MATERIAL,LINING_MATERIAL,OUTSOLE_MATERIAL,HS_CODE,HEEL_HEIGHT_IN_INCH,HEEL_HEIGHT_IN_CM,PLATFORM_HEIGHT_IN_INCH,PLATFORM_HEIGHT_IN_CM,MSRP_YEN,MSRP_CAD,MSRP_RUBLE,MSRP_AUD,MSRP_UAH
CPPB-001,"Pleaser Cat Pom Pom Ball (Black, Ivory)",Accessories,,,CPPB-001,Charging Power Bank Charm (Pls specified the color on S/O),7.00,"1",https://pleaser.sa.metacdn.com/picxnw/cppb-001.jpg,https://pleaser.sa.metacdn.com/picxnw/cppb-001_t.jpg,,,"",,,CURRENT,,,,,,,,,,11/10/2017,1.00,YES,,,,,,,,,,8507.60.0020,,,,,,,,,
DASC-LXL,"Clear Detachable Ankle Straps, Fits Shoe Sizes 11-16(L-XL)",Accessories,,,DASC-LXL,Clear Detachable Ankle Straps,48.00,"1",https://pleaser.sa.metacdn.com/picxnw/dasc-lxl.jpg,https://pleaser.sa.metacdn.com/picxnw/dasc-lxl_t.jpg,,,"Fits Shoe Sizes 11-16(L-XL)",109.95,"Clear Detachable Ankle Straps, Fits Shoe Sizes 11-16 (Large, X-Large), One Dozen (12) Pairs Per Box",CURRENT,,,10/20/2015,95.95,,8.95,85.95,,,11/12/2015,55.00,YES,,,,,,,,,,6406.90.3060,,,,,12099.00,142.95,7399,158.95,2999.00
DASC-SM,"Clear Detachable Ankle Straps, Fits Shoe Sizes 5-10(S-M)",Accessories,,,DASC-SM,Clear Detachable Ankle Straps,48.00,"1",https://pleaser.sa.metacdn.com/picxnw/dasc-sm.jpg,https://pleaser.sa.metacdn.com/picxnw/dasc-sm_t.jpg,,,"Fits Shoe Sizes 5-10(S-M)",109.95,"Clear Detachable Ankle Straps, Fits Shoe Sizes 5-10 (Small, Medium), One Dozen (12) Pairs Per Box",CURRENT,,,10/20/2015,95.95,,8.95,85.95,,,11/12/2015,55.00,YES,,,,,,,,,,6406.90.3060,,,,,12099.00,142.95,7399,158.95,2999.00
DB-DEMONIA,"Dimensions: 14""*8""*2 3/4"". Weight: 1.5lbs.",Accessories,,,DISPLAY-DEMONIA,Blk Matte Acrylic W/Slv Logo,16.00,"ONE SIZE",https://pleaser.sa.metacdn.com/picxnw/display_demonia.jpg,https://pleaser.sa.metacdn.com/picxnw/display_demonia_t.jpg,,,"",44.95,"Dimensions: 8"""" H*13 3/4"""" W*1 1/4~2 3/4 D. Weight: 2lbs.",CURRENT,,,,38.95,,,34.95,,,12/05/2013,21.00,YES,,,,,,,,,,3926.90.9995,,,,,4899.00,57.95,2999,64.95,1199.00
DFS-01,"DISPOSABLE FOOT SOX",Accessories,,,DISP. FOOT SOX,1 Box/Gross (144pcs),6.00,"",https://pleaser.sa.metacdn.com/picxnw/foot_sox.jpg,https://pleaser.sa.metacdn.com/picxnw/foot_sox_t.jpg,,,"",23.95,"",CURRENT,,,,20.95,,,18.95,,,02/22/2000,11.00,YES,,,,,,,,,,6615.96.9020,,,,,2599.00,30.95,1599,34.95,599.00
DS-PLEASER-RS,"Rhinestone PLEASER Logo Display Stand",Accessories,,,DS-PLEASER-RS,Rhinestone PLEASER Logo Display Stand,39.00,"1",https://pleaser.sa.metacdn.com/picxnw/ds-pleaser-rs.jpg,https://pleaser.sa.metacdn.com/picxnw/ds-pleaser-rs_t.jpg,,,"",,"9""""H x 13 """"W (Media Size) T-Shaped Clear Acrylic Display with Block Base and Rhinestone PLEASERTM Logo.",NEW,,,,,,79.95,,,,,1000.00,YES,,,,,,,,,,9505.10.2500,,,,,,,,,
GI-001ML,"PLEASER 3/4 Gel Insoles w/ Arch Support",Accessories,,,GI-001ML,Ice Grey & Blk,60.00,"1",https://pleaser.sa.metacdn.com/picxnw/gi-001-ml.jpg,https://pleaser.sa.metacdn.com/picxnw/gi-001-ml_t.jpg,,,", 1 Dozen",,,CURRENT,,,,,,,,,,01/02/2020,.00,YES,,,,,,,,,,6406.90.3060,,,,,,,,,
GI-001SM,"PLEASER 3/4 Gel Insoles w/ Arch Support",Accessories,,,GI-001SM,Ice Grey & Blk,60.00,"1",https://pleaser.sa.metacdn.com/picxnw/gi-001-sm.jpg,https://pleaser.sa.metacdn.com/picxnw/gi-001-sm_t.jpg,,,"1 Dozen",,,CURRENT,,,,,,,,,,01/02/2020,.00,YES,,,,,,,,,,6406.90.3060,,,,,,,,,
HB-501-1/BNY,"9""X10.5""X4"" Mini Backpack",Accessories,,,HB-501-2,Blk Nylon,14.00,"1",https://pleaser.sa.metacdn.com/picxnw/hb-501-1-bny.jpg,https://pleaser.sa.metacdn.com/picxnw/hb-501-1-bny_t.jpg,,,"",,,NEW,,,,,,29.95,,,,10/29/2021,.00,YES,,,,,,,,,,4202.32.2000,,,,,,,,,
HB-501-1/BPNY,"9""X10.5""X4"" Mini Backpack",Accessories,,,HB-501-1,B. Pink Nylon,14.00,"1",https://pleaser.sa.metacdn.com/picxnw/hb-501-1-bpny.jpg,https://pleaser.sa.metacdn.com/picxnw/hb-501-1-bpny_t.jpg,,,"",,,NEW,,,,,,29.95,,,,10/29/2021,.00,YES,,,,,,,,,,4202.32.2000,,,,,,,,,
